OBJECTID,Shape,ID_PARADERO,ID_PARADA,ID_RUTA,NRO_PARADA,DIRECCION,TIPO_PARADA,RECORRIDO,CODIGO_RUTA,NOMBRE_RUTA,SISTEMA_RUTA,TIPO_RUTA,EMPRESA,X_MAGNAMED,Y_MAGNAMED,LONGITUD,LATITUD
24,"(826771.6696000001, 1186017.0159999998)",50256,90355004,90355,4.0,"CR 143A 60C-30, Medellin",Reglamentaria,Origen-Destino,C23i DERECHA,San Cristóbal-estación San Javier,8A,Integrada,Tax Maya,826771.6696,1186017.016,-75.64264942,6.27621488
25,"(826771.6696000001, 1186017.0159999998)",50256,90331007,90331,7.0,"CR 143A 60C-30, Medellin",Reglamentaria,Origen-Destino,C23i,La Palma-estación San Javier,8A,Integrada,Tax Maya,826771.6696,1186017.016,-75.64264942,6.27621488
26,"(826771.6696000001, 1186017.0159999998)",50256,90328004,90328,4.0,"CR 143A 60C-30, Medellin",Reglamentaria,Origen-Destino,C23i IZQUIERA,San Cristóbal-estación San Javier,8A,Integrada,Tax Maya,826771.6696,1186017.016,-75.64264942,6.27621488
27,"(826776.6629, 1186077.6227)",50257,90328082,90328,82.0,"CR 143A x CL 60C, Medellin",Reglamentaria,Destino-Origen,C23i IZQUIERA,San Cristóbal-estación San Javier,8A,Integrada,Tax Maya,826776.6629,1186077.6227,-75.64260439,6.2767628
28,"(826776.6629, 1186077.6227)",50257,90355080,90355,80.0,"CR 143A x CL 60C, Medellin",Reglamentaria,Destino-Origen,C23i DERECHA,San Cristóbal-estación San Javier,8A,Integrada,Tax Maya,826776.6629,1186077.6227,-75.64260439,6.2767628
29,"(826790.3242000001, 1186456.2767)",50258,90355008,90355,8.0,"CL 63 142-93, Medellin",Reglamentaria,Origen-Destino,C23i DERECHA,San Cristóbal-estación San Javier,8A,Integrada,Tax Maya,826790.3242,1186456.2767,-75.64248147,6.28018603
30,"(826790.3242000001, 1186456.2767)",50258,90328008,90328,8.0,"CL 63 142-93, Medellin",Reglamentaria,Origen-Destino,C23i IZQUIERA,San Cristóbal-estación San Javier,8A,Integrada,Tax Maya,826790.3242,1186456.2767,-75.64248147,6.28018603
31,"(826794.2143, 1186108.4039)",50259,90328005,90328,5.0,"CL 60C 135-74, Medellin",Reglamentaria,Origen-Destino,C23i IZQUIERA,San Cristóbal-estación San Javier,8A,Integrada,Tax Maya,826794.2143,1186108.4039,-75.64244586,6.2770411
32,"(826794.2143, 1186108.4039)",50259,90355005,90355,5.0,"CL 60C 135-74, Medellin",Reglamentaria,Origen-Destino,C23i DERECHA,San Cristóbal-estación San Javier,8A,Integrada,Tax Maya,826794.2143,1186108.4039,-75.64244586,6.2770411
33,"(826798.8274, 1186457.4629000002)",50261,90328079,90328,79.0,"CL 63 142-70, Medellin",Reglamentaria,Destino-Origen,C23i IZQUIERA,San Cristóbal-estación San Javier,8A,Integrada,Tax Maya,826798.8274,1186457.4629,-75.64240464,6.28019677
