OBJECTID,Shape,ID_PARADERO,ID_PARADA,ID_RUTA,NRO_PARADA,DIRECCION,TIPO_PARADA,RECORRIDO,CODIGO_RUTA,NOMBRE_RUTA,SISTEMA_RUTA,TIPO_RUTA,EMPRESA,X_MAGNAMED,Y_MAGNAMED,LONGITUD,LATITUD 
3097,"(832862.9524, 1185366.1570000001)",52070,90076033,90076,33.0,"CL 65 x CR 75, Medellin",Reglamentaria,Destino-Origen,253D,Aures derecha,2A,Directa Centro,Palenque Robledal,832862.9524,1185366.157,-75.58761553,6.27033605
3098,"(832862.9524, 1185366.1570000001)",52070,90077033,90077,33.0,"CL 65 x CR 75, Medellin",Reglamentaria,Destino-Origen,253I,Aures izquierda,2A,Directa Centro,Palenque Robledal,832862.9524,1185366.157,-75.58761553,6.27033605
3099,"(832862.9524, 1185366.1570000001)",52070,90079025,90079,25.0,"CL 65 x CR 75, Medellin",Reglamentaria,Destino-Origen,253iAR,Robledo Aures integrada Ramal,2A,Integrada,Palenque Robledal,832862.9524,1185366.157,-75.58761553,6.27033605
3100,"(832862.9524, 1185366.1570000001)",52070,90099040,90099,40.0,"CL 65 x CR 75, Medellin",Reglamentaria,Destino-Origen,267,Éxito,2A,Directa Centro,Palenque Robledal,832862.9524,1185366.157,-75.58761553,6.27033605
3101,"(832862.9524, 1185366.1570000001)",52070,90071035,90071,35.0,"CL 65 x CR 75, Medellin",Reglamentaria,Destino-Origen,250AH,La Huerta,2A,Directa Centro,Palenque Robledal,832862.9524,1185366.157,-75.58761553,6.27033605
3102,"(832862.9524, 1185366.1570000001)",52070,90074032,90074,32.0,"CL 65 x CR 75, Medellin",Reglamentaria,Destino-Origen,251,Margaritas,2A,Directa Centro,Palenque Robledal,832862.9524,1185366.157,-75.58761553,6.27033605
3103,"(832862.9524, 1185366.1570000001)",52070,90073037,90073,37.0,"CL 65 x CR 75, Medellin",Reglamentaria,Destino-Origen,250AP,Pajarito,2A,Directa Centro,Palenque Robledal,832862.9524,1185366.157,-75.58761553,6.27033605
3104,"(832862.9524, 1185366.1570000001)",52070,90070041,90070,41.0,"CL 65 x CR 75, Medellin",Reglamentaria,Destino-Origen,250VF,Robledo Villa Flora,2A,Directa Centro,Palenque Robledal,832862.9524,1185366.157,-75.58761553,6.27033605
3105,"(832862.9524, 1185366.1570000001)",52070,90078027,90078,27.0,"CL 65 x CR 75, Medellin",Reglamentaria,Destino-Origen,253iA,Robledo Aures integrada,2A,Integrada,Palenque Robledal,832862.9524,1185366.157,-75.58761553,6.27033605
3106,"(832862.9524, 1185366.1570000001)",52070,90365030,90365,30.0,"CL 65 x CR 75, Medellin",Reglamentaria,Destino-Origen,250VF_C,Villa Flora-Curazao,2A,Directa Centro,Palenque Robledal,832862.9524,1185366.157,-75.58761553,6.27033605
3107,"(832867.0085000002, 1186812.1733)",52072,90094008,90094,8.0,"CR 85A x CL 78, Medellin",Reglamentaria,Origen-Destino,260CL,Clínica,2A,Directa Centro,Palenque Robledal,832867.0085,1186812.1733,-75.58757945,6.28340872
3108,"(832869.2064000006, 1183593.2556000003)",52073,90015045,90015,45.0,"CL 48 x CR 68, Medellin",Reglamentaria,Destino-Origen,315,Circular 315,Circular 315 Y 316,Circular,Santra,832869.2064,1183593.2556,-75.58755834,6.25430819
3109,"(832870.5389, 1182170.9692000002)",52074,90287034,90287,34.0,"CR 66B 34A-, Medellin",Reglamentaria,Destino-Origen,193ii,Estadio-Laureles Santa Teresita,8A,Integrada,Autobuses Poblado Laureles,832870.5389,1182170.9692,-75.58754575,6.24145005
3110,"(832870.5389, 1182170.9692000002)",52074,90143029,90143,29.0,"CR 66B 34A-, Medellin",Reglamentaria,Origen-Destino,172,Belén La Gloria,3A,Directa Centro,Cootrabel,832870.5389,1182170.9692,-75.58754575,6.24145005
3111,"(832872.0440000006, 1181969.5751999998)",52075,90289031,90289,31.0,"CR 66B x CL 33, Medellin",Reglamentaria,Destino-Origen,195i,Simón Bolívar-Unicentro-estación Santa Lucía,8A,Integrada,Tax Maya,832872.044,1181969.5752,-75.58753207,6.23962936
3112,"(832875.4423000002, 1181719.87)",52077,90141024,90141,24.0,"CR 66B x CL 32C, Medellin",Reglamentaria,Destino-Origen,170,Belén Las Playas,3A,Directa Centro,Cootrabel,832875.4423,1181719.87,-75.58750127,6.2373719
3113,"(832875.4423000002, 1181719.87)",52077,90145036,90145,36.0,"CR 66B x CL 32C, Medellin",Reglamentaria,Destino-Origen,178,Belén La Nubia,3A,Directa Centro,Cootrabel,832875.4423,1181719.87,-75.58750127,6.2373719
3114,"(832878.5414, 1187809.1321)",52078,90094042,90094,42.0,"CR 89B 89-, Medellin",Reglamentaria,Destino-Origen,260CL,Clínica,2A,Directa Centro,Palenque Robledal,832878.5414,1187809.1321,-75.58747564,6.2924217
3115,"(832879.7703, 1181653.8777)",52081,90006061,90006,61.0,"CR 66B x CL 32B, Medellin",Reglamentaria,Destino-Origen,301,Circular,"Circular Coonatra 300, 301, 310, 311",Circular,Coonatra,832879.7703,1181653.8777,-75.58746215,6.2367753
3116,"(832879.7703, 1181653.8777)",52081,90369058,90369,58.0,"CR 66B x CL 32B, Medellin",Reglamentaria,Destino-Origen,301 DIR-80,Circular,"Circular Coonatra 300, 301, 310, 311",Circular,Coonatra,832879.7703,1181653.8777,-75.58746215,6.2367753
3117,"(832881.0958000006, 1182170.8103999998)",52082,90288019,90288,19.0,"CR 66B 34A-76, Medellin",Reglamentaria,Origen-Destino,195,Simón Bolívar-Unicentro-Centro,8A,Directa Centro,Tax Maya,832881.0958,1182170.8104,-75.58745037,6.24144862
3118,"(832881.0958000006, 1182170.8103999998)",52082,90289030,90289,30.0,"CR 66B 34A-76, Medellin",Reglamentaria,Destino-Origen,195i,Simón Bolívar-Unicentro-estación Santa Lucía,8A,Integrada,Tax Maya,832881.0958,1182170.8104,-75.58745037,6.24144862
3119,"(832883.5385, 1187799.7061)",52084,90094002,90094,2.0,"CR 89 92C-119, Medellin",Reglamentaria,Origen-Destino,260CL,Clínica,2A,Directa Centro,Palenque Robledal,832883.5385,1187799.7061,-75.58743049,6.29233649
3120,"(832884.5324, 1187191.7686)",52085,90097004,90097,4.0,"CL 80 87-33, Medellin",Reglamentaria,Origen-Destino,260BR,Brisas,2A,Directa Centro,Palenque Robledal,832884.5324,1187191.7686,-75.58742127,6.28684045
3121,"(832884.5324, 1187191.7686)",52085,90096009,90096,9.0,"CL 80 87-33, Medellin",Reglamentaria,Origen-Destino,260i,Seminario integrada,2A,Integrada,Palenque Robledal,832884.5324,1187191.7686,-75.58742127,6.28684045
3122,"(832884.5324, 1187191.7686)",52085,90095008,90095,8.0,"CL 80 87-33, Medellin",Reglamentaria,Origen-Destino,260C,Córdoba,2A,Directa Centro,Palenque Robledal,832884.5324,1187191.7686,-75.58742127,6.28684045
3123,"(832884.5324, 1187191.7686)",52085,90098006,90098,6.0,"CL 80 87-33, Medellin",Reglamentaria,Origen-Destino,260T,Torres,2A,Directa Centro,Palenque Robledal,832884.5324,1187191.7686,-75.58742127,6.28684045
3124,"(832885.8462, 1186450.4356)",52086,90106013,90106,13.0,"DG 80 con 77BB, Medellin",Reglamentaria,Origen-Destino,254iB,Pilarica,2B,Integrada,Transporte Medellín Castilla ,832885.8462,1186450.4356,-75.58740912,6.28013845
3125,"(832885.8462, 1186450.4356)",52086,90080014,90080,14.0,"DG 80 con 77BB, Medellin",Reglamentaria,Origen-Destino,254,Picacho,2A,Directa Centro,Transporte Medellín Castilla ,832885.8462,1186450.4356,-75.58740912,6.28013845
3126,"(832885.8462, 1186450.4356)",52086,90124013,90124,13.0,"DG 80 con 77BB, Medellin",Reglamentaria,Origen-Destino,289,Pilarica Calle 96,2B,Directa Centro,Transporte Medellín Castilla ,832885.8462,1186450.4356,-75.58740912,6.28013845
3127,"(832886.8165000005, 1181294.9860999999)",52087,90010016,90010,16.0,"CR 66B x CL 30A, Medellin",Reglamentaria,Origen-Destino,305,Comercial Hotelera izquierda,"Circular 304, 305, 308, 308D, 309, 309D",Circular,Invetrans,832886.8165,1181294.9861,-75.58739835,6.23353076
3128,"(832887.9497000002, 1181745.9917000001)",52088,90141012,90141,12.0,"CR 66B 32D-36, Medellin",Reglamentaria,Origen-Destino,170,Belén Las Playas,3A,Directa Centro,Cootrabel,832887.9497,1181745.9917,-75.58738829,6.23760806
3129,"(832897.6231000001, 1181549.3535000002)",52091,90009060,90009,60.0,"CR 66B x CL 32, Medellin",Reglamentaria,Destino-Origen,304,Comercial Hotelera derecha,"Circular 304, 305, 308, 308D, 309, 309D",Circular,Invetrans,832897.6231,1181549.3535,-75.58730082,6.23583036
3130,"(832897.6231000001, 1181549.3535000002)",52091,90141011,90141,11.0,"CR 66B x CL 32, Medellin",Reglamentaria,Origen-Destino,170,Belén Las Playas,3A,Directa Centro,Cootrabel,832897.6231,1181549.3535,-75.58730082,6.23583036
3131,"(832895.2059000003, 1186837.7187)",52092,90099049,90099,49.0,"CR 85 78A-15, Medellin",Reglamentaria,Destino-Origen,267,Éxito,2A,Directa Centro,Palenque Robledal,832895.2059,1186837.7187,-75.5873247,6.28363968
3132,"(832895.2059000003, 1186837.7187)",52092,90094036,90094,36.0,"CR 85 78A-15, Medellin",Reglamentaria,Destino-Origen,260CL,Clínica,2A,Directa Centro,Palenque Robledal,832895.2059,1186837.7187,-75.5873247,6.28363968
3133,"(832896.5979000005, 1184139.9183)",52093,90353053,90353,53.0,"CL 50 71-28, Medellin",Reglamentaria,Destino-Origen,255 V3 HOR ESP,Boqueron Centro Horario Especial,2A,Directa Centro,Rápido San Cristóbal,832896.5979,1184139.9183,-75.58731108,6.25925029
3134,"(832896.5979000005, 1184139.9183)",52093,90011044,90011,44.0,"CL 50 71-28, Medellin",Reglamentaria,Destino-Origen,308,Ruta de la Salud derecha,"Circular 304, 305, 308, 308D, 309, 309D",Circular,Coinvetrans,832896.5979,1184139.9183,-75.58731108,6.25925029
3135,"(832896.5979000005, 1184139.9183)",52093,90083045,90083,45.0,"CL 50 71-28, Medellin",Reglamentaria,Destino-Origen,255,San Cristóbal - Doña María,2A,Directa Centro,Rápido San Cristóbal,832896.5979,1184139.9183,-75.58731108,6.25925029
3136,"(832896.5979000005, 1184139.9183)",52093,90093057,90093,57.0,"CL 50 71-28, Medellin",Reglamentaria,Destino-Origen,255A,Las Flores-Moravia-Centro,2A,Directa Centro,Rápido San Cristóbal,832896.5979,1184139.9183,-75.58731108,6.25925029
3137,"(832896.5979000005, 1184139.9183)",52093,90092049,90092,49.0,"CL 50 71-28, Medellin",Reglamentaria,Destino-Origen,255A,Nuevo Occidente El Tirol,2A,Directa Centro,Rápido San Cristóbal,832896.5979,1184139.9183,-75.58731108,6.25925029
3138,"(832896.5979000005, 1184139.9183)",52093,90010065,90010,65.0,"CL 50 71-28, Medellin",Reglamentaria,Destino-Origen,305,Comercial Hotelera izquierda,"Circular 304, 305, 308, 308D, 309, 309D",Circular,Invetrans,832896.5979,1184139.9183,-75.58731108,6.25925029
3139,"(832896.5979000005, 1184139.9183)",52093,90081052,90081,52.0,"CL 50 71-28, Medellin",Reglamentaria,Destino-Origen,255A,Nuevo Occidente-Las Flores,2A,Directa Centro,Rápido San Cristóbal,832896.5979,1184139.9183,-75.58731108,6.25925029
3140,"(832896.5979000005, 1184139.9183)",52093,90088052,90088,52.0,"CL 50 71-28, Medellin",Reglamentaria,Destino-Origen,255V1D,Vereda El Llano - Centro,2A,Directa Centro,Rápido San Cristóbal,832896.5979,1184139.9183,-75.58731108,6.25925029
3141,"(832896.8174, 1181999.8495999998)",52094,90288020,90288,20.0,"CL 34 x CR 66A, Medellin",Reglamentaria,Origen-Destino,195,Simón Bolívar-Unicentro-Centro,8A,Directa Centro,Tax Maya,832896.8174,1181999.8496,-75.58730828,6.23990306
3142,"(832899.5960000005, 1187200.4506)",52095,90098039,90098,39.0,"CL 80 87-28, Medellin",Reglamentaria,Destino-Origen,260T,Torres,2A,Directa Centro,Palenque Robledal,832899.596,1187200.4506,-75.58728518,6.28691894
3143,"(832899.5960000005, 1187200.4506)",52095,90096028,90096,28.0,"CL 80 87-28, Medellin",Reglamentaria,Destino-Origen,260i,Seminario integrada,2A,Integrada,Palenque Robledal,832899.596,1187200.4506,-75.58728518,6.28691894
3144,"(832899.5960000005, 1187200.4506)",52095,90097037,90097,37.0,"CL 80 87-28, Medellin",Reglamentaria,Destino-Origen,260BR,Brisas,2A,Directa Centro,Palenque Robledal,832899.596,1187200.4506,-75.58728518,6.28691894
3145,"(832899.5960000005, 1187200.4506)",52095,90095040,90095,40.0,"CL 80 87-28, Medellin",Reglamentaria,Destino-Origen,260C,Córdoba,2A,Directa Centro,Palenque Robledal,832899.596,1187200.4506,-75.58728518,6.28691894
3146,"(832907.1628000006, 1184696.0654000002)",52099,90082015,90082,15.0,"CL 55 x CR 73, Medellin",Reglamentaria,Origen-Destino,255D,San Cristóbal -Conexión vial,2A,Directa Centro,Rápido San Cristóbal,832907.1628,1184696.0654,-75.58721585,6.26427812
3147,"(832907.1628000006, 1184696.0654000002)",52099,90059011,90059,11.0,"CL 55 x CR 73, Medellin",Reglamentaria,Origen-Destino,246D,Blanquizal Calazanía directa,2A,Directa Centro,Cootransblan,832907.1628,1184696.0654,-75.58721585,6.26427812
3148,"(832907.1628000006, 1184696.0654000002)",52099,90086024,90086,24.0,"CL 55 x CR 73, Medellin",Reglamentaria,Origen-Destino,255P,Palmitas-Centro,2A,Directa Centro,Rápido San Cristóbal,832907.1628,1184696.0654,-75.58721585,6.26427812
3149,"(832907.9329000004, 1184815.9849999999)",52100,90071013,90071,13.0,"CR 74 x CL 55, Medellin",Reglamentaria,Origen-Destino,250AH,La Huerta,2A,Directa Centro,Palenque Robledal,832907.9329,1184815.985,-75.58720894,6.26536226
3150,"(832907.9329000004, 1184815.9849999999)",52100,90078016,90078,16.0,"CR 74 x CL 55, Medellin",Reglamentaria,Origen-Destino,253iA,Robledo Aures integrada,2A,Integrada,Palenque Robledal,832907.9329,1184815.985,-75.58720894,6.26536226
3151,"(832907.9329000004, 1184815.9849999999)",52100,90070019,90070,19.0,"CR 74 x CL 55, Medellin",Reglamentaria,Origen-Destino,250VF,Robledo Villa Flora,2A,Directa Centro,Palenque Robledal,832907.9329,1184815.985,-75.58720894,6.26536226
3152,"(832907.9329000004, 1184815.9849999999)",52100,90365009,90365,9.0,"CR 74 x CL 55, Medellin",Reglamentaria,Origen-Destino,250VF_C,Villa Flora-Curazao,2A,Directa Centro,Palenque Robledal,832907.9329,1184815.985,-75.58720894,6.26536226
3153,"(832911.4145000001, 1186423.9518)",52102,90080045,90080,45.0,"DG 80 77BB-02, Medellin",Reglamentaria,Destino-Origen,254,Picacho,2A,Directa Centro,Transporte Medellín Castilla ,832911.4145,1186423.9518,-75.5871781,6.27989903
3154,"(832911.4145000001, 1186423.9518)",52102,90011061,90011,61.0,"DG 80 77BB-02, Medellin",Reglamentaria,Destino-Origen,308,Ruta de la Salud derecha,"Circular 304, 305, 308, 308D, 309, 309D",Circular,Coinvetrans,832911.4145,1186423.9518,-75.5871781,6.27989903
3155,"(832911.4145000001, 1186423.9518)",52102,90124037,90124,37.0,"DG 80 77BB-02, Medellin",Reglamentaria,Destino-Origen,289,Pilarica Calle 96,2B,Directa Centro,Transporte Medellín Castilla ,832911.4145,1186423.9518,-75.5871781,6.27989903
3156,"(832921.5245, 1185028.383)",52104,90006033,90006,33.0,"CL 65 74B-69, Medellin",Reglamentaria,Origen-Destino,301,Circular,"Circular Coonatra 300, 301, 310, 311",Circular,Coonatra,832921.5245,1185028.383,-75.58708622,6.26728244
3157,"(832921.5245, 1185028.383)",52104,90369030,90369,30.0,"CL 65 74B-69, Medellin",Reglamentaria,Origen-Destino,301 DIR-80,Circular,"Circular Coonatra 300, 301, 310, 311",Circular,Coonatra,832921.5245,1185028.383,-75.58708622,6.26728244
3158,"(832928.4731, 1184084.0225)",52106,90292020,90292,20.0,"CL 50 x CR 70, Medellin",Reglamentaria,Origen-Destino,201,Éxito Corazón,8A,Directa Centro,Conducciones América,832928.4731,1184084.0225,-75.58702308,6.25874498
3159,"(832928.4731, 1184084.0225)",52106,90283025,90283,25.0,"CL 50 x CR 70, Medellin",Reglamentaria,Origen-Destino,191,Laureles Éxito,8A,Directa Centro,Autobuses Poblado Laureles,832928.4731,1184084.0225,-75.58702308,6.25874498
3160,"(832928.4731, 1184084.0225)",52106,90317017,90317,17.0,"CL 50 x CR 70, Medellin",Reglamentaria,Origen-Destino,240,Floresta Estadio-Oriental,8A,Directa Centro,Conducciones América,832928.4731,1184084.0225,-75.58702308,6.25874498
3161,"(832928.4731, 1184084.0225)",52106,90293019,90293,19.0,"CL 50 x CR 70, Medellin",Reglamentaria,Origen-Destino,201,Éxito Corazón,8A,Directa Centro,Conducciones América,832928.4731,1184084.0225,-75.58702308,6.25874498
3162,"(832928.4731, 1184084.0225)",52106,90013032,90013,32.0,"CL 50 x CR 70, Medellin",Reglamentaria,Origen-Destino,309,Ruta de la Salud izquierda,"Circular 304, 305, 308, 308D, 309, 309D",Circular,Coinvetrans,832928.4731,1184084.0225,-75.58702308,6.25874498
3163,"(832928.4731, 1184084.0225)",52106,90287047,90287,47.0,"CL 50 x CR 70, Medellin",Reglamentaria,Destino-Origen,193ii,Estadio-Laureles Santa Teresita,8A,Integrada,Autobuses Poblado Laureles,832928.4731,1184084.0225,-75.58702308,6.25874498
3164,"(832928.4731, 1184084.0225)",52106,90014032,90014,32.0,"CL 50 x CR 70, Medellin",Reglamentaria,Origen-Destino,309D,Ruta de la Salud izquierda directa,"Circular 304, 305, 308, 308D, 309, 309D",Circular,Coinvetrans,832928.4731,1184084.0225,-75.58702308,6.25874498
3165,"(832933.9856000001, 1184861.4452)",52108,90074013,90074,13.0,"CR 74 60-11, Medellin",Reglamentaria,Origen-Destino,251,Margaritas,2A,Directa Centro,Palenque Robledal,832933.9856,1184861.4452,-75.58697358,6.26577325
3166,"(832933.9856000001, 1184861.4452)",52108,90079014,90079,14.0,"CR 74 60-11, Medellin",Reglamentaria,Origen-Destino,253iAR,Robledo Aures integrada Ramal,2A,Integrada,Palenque Robledal,832933.9856,1184861.4452,-75.58697358,6.26577325
3167,"(832933.9856000001, 1184861.4452)",52108,90073015,90073,15.0,"CR 74 60-11, Medellin",Reglamentaria,Origen-Destino,250AP,Pajarito,2A,Directa Centro,Palenque Robledal,832933.9856,1184861.4452,-75.58697358,6.26577325
3168,"(832933.9856000001, 1184861.4452)",52108,90076015,90076,15.0,"CR 74 60-11, Medellin",Reglamentaria,Origen-Destino,253D,Aures derecha,2A,Directa Centro,Palenque Robledal,832933.9856,1184861.4452,-75.58697358,6.26577325
3169,"(832933.9856000001, 1184861.4452)",52108,90099019,90099,19.0,"CR 74 60-11, Medellin",Reglamentaria,Origen-Destino,267,Éxito,2A,Directa Centro,Palenque Robledal,832933.9856,1184861.4452,-75.58697358,6.26577325
3170,"(832933.9856000001, 1184861.4452)",52108,90077015,90077,15.0,"CR 74 60-11, Medellin",Reglamentaria,Origen-Destino,253I,Aures izquierda,2A,Directa Centro,Palenque Robledal,832933.9856,1184861.4452,-75.58697358,6.26577325
3171,"(832944.6699, 1182244.7659999998)",52110,90009062,90009,62.0,"CR 66B 34B-26, Medellin",Reglamentaria,Destino-Origen,304,Comercial Hotelera derecha,"Circular 304, 305, 308, 308D, 309, 309D",Circular,Invetrans,832944.6699,1182244.766,-75.58687606,6.24211724
3172,"(832949.3757000006, 1182368.1694)",52113,90286008,90286,8.0,"CQ 1 con 66B, Medellin",Reglamentaria,Origen-Destino,193i,Estadio-Bolivariana-Laureles,8A,Integrada,Autobuses Poblado Laureles,832949.3757,1182368.1694,-75.58683359,6.24323286
3173,"(832951.8587, 1184837.3248)",52114,90071034,90071,34.0,"CL 65 x CR 73, Medellin",Reglamentaria,Destino-Origen,250AH,La Huerta,2A,Directa Centro,Palenque Robledal,832951.8587,1184837.3248,-75.58681209,6.26555519
3174,"(832951.8587, 1184837.3248)",52114,90077032,90077,32.0,"CL 65 x CR 73, Medellin",Reglamentaria,Destino-Origen,253I,Aures izquierda,2A,Directa Centro,Palenque Robledal,832951.8587,1184837.3248,-75.58681209,6.26555519
3175,"(832951.8587, 1184837.3248)",52114,90079024,90079,24.0,"CL 65 x CR 73, Medellin",Reglamentaria,Destino-Origen,253iAR,Robledo Aures integrada Ramal,2A,Integrada,Palenque Robledal,832951.8587,1184837.3248,-75.58681209,6.26555519
3176,"(832951.8587, 1184837.3248)",52114,90076032,90076,32.0,"CL 65 x CR 73, Medellin",Reglamentaria,Destino-Origen,253D,Aures derecha,2A,Directa Centro,Palenque Robledal,832951.8587,1184837.3248,-75.58681209,6.26555519
3177,"(832951.8587, 1184837.3248)",52114,90070040,90070,40.0,"CL 65 x CR 73, Medellin",Reglamentaria,Destino-Origen,250VF,Robledo Villa Flora,2A,Directa Centro,Palenque Robledal,832951.8587,1184837.3248,-75.58681209,6.26555519
3178,"(832951.8587, 1184837.3248)",52114,90074031,90074,31.0,"CL 65 x CR 73, Medellin",Reglamentaria,Destino-Origen,251,Margaritas,2A,Directa Centro,Palenque Robledal,832951.8587,1184837.3248,-75.58681209,6.26555519
3179,"(832951.8587, 1184837.3248)",52114,90078026,90078,26.0,"CL 65 x CR 73, Medellin",Reglamentaria,Destino-Origen,253iA,Robledo Aures integrada,2A,Integrada,Palenque Robledal,832951.8587,1184837.3248,-75.58681209,6.26555519
3180,"(832951.8587, 1184837.3248)",52114,90073036,90073,36.0,"CL 65 x CR 73, Medellin",Reglamentaria,Destino-Origen,250AP,Pajarito,2A,Directa Centro,Palenque Robledal,832951.8587,1184837.3248,-75.58681209,6.26555519
3181,"(832951.8587, 1184837.3248)",52114,90365029,90365,29.0,"CL 65 x CR 73, Medellin",Reglamentaria,Destino-Origen,250VF_C,Villa Flora-Curazao,2A,Directa Centro,Palenque Robledal,832951.8587,1184837.3248,-75.58681209,6.26555519
3182,"(832953.8987, 1187139.2206000001)",52115,90098007,90098,7.0,"CR 86A 79B-39, Medellin",Reglamentaria,Origen-Destino,260T,Torres,2A,Directa Centro,Palenque Robledal,832953.8987,1187139.2206,-75.58679453,6.28636542
3183,"(832953.8987, 1187139.2206000001)",52115,90097005,90097,5.0,"CR 86A 79B-39, Medellin",Reglamentaria,Origen-Destino,260BR,Brisas,2A,Directa Centro,Palenque Robledal,832953.8987,1187139.2206,-75.58679453,6.28636542
3184,"(832953.8987, 1187139.2206000001)",52115,90095009,90095,9.0,"CR 86A 79B-39, Medellin",Reglamentaria,Origen-Destino,260C,Córdoba,2A,Directa Centro,Palenque Robledal,832953.8987,1187139.2206,-75.58679453,6.28636542
3185,"(832955.4746, 1186527.8801000002)",52116,90075042,90075,42.0,"DG 80 77BB-106, Medellin",Reglamentaria,Destino-Origen,252,Kennedy,2A,Directa Centro,Palenque Robledal,832955.4746,1186527.8801,-75.58678006,6.28083861
3186,"(832959.1074, 1184799.8279)",52117,90086038,90086,38.0,"CL 60 x CR 73, Medellin",Reglamentaria,Destino-Origen,255P,Palmitas-Centro,2A,Directa Centro,Rápido San Cristóbal,832959.1074,1184799.8279,-75.58674659,6.26521621
3187,"(832959.1074, 1184799.8279)",52117,90082029,90082,29.0,"CL 60 x CR 73, Medellin",Reglamentaria,Destino-Origen,255D,San Cristóbal -Conexión vial,2A,Directa Centro,Rápido San Cristóbal,832959.1074,1184799.8279,-75.58674659,6.26521621
3188,"(832959.1074, 1184799.8279)",52117,90059022,90059,22.0,"CL 60 x CR 73, Medellin",Reglamentaria,Destino-Origen,246D,Blanquizal Calazanía directa,2A,Directa Centro,Cootransblan,832959.1074,1184799.8279,-75.58674659,6.26521621
3189,"(832963.3931, 1185625.1441000002)",52118,90106020,90106,20.0,"CL 73 x CR 76A, Medellin",Reglamentaria,Destino-Origen,254iB,Pilarica,2B,Integrada,Transporte Medellín Castilla ,832963.3931,1185625.1441,-75.58670818,6.27267746
3190,"(832963.3931, 1185625.1441000002)",52118,90099042,90099,42.0,"CL 73 x CR 76A, Medellin",Reglamentaria,Destino-Origen,267,Éxito,2A,Directa Centro,Palenque Robledal,832963.3931,1185625.1441,-75.58670818,6.27267746
3191,"(832963.8161000004, 1185637.9962)",52119,90105010,90105,10.0,"CL 73 x CR 76A, Medellin",Reglamentaria,Origen-Destino,254i,Pilarica integrada,2B,Integrada,Transporte Medellín Castilla ,832963.8161,1185637.9962,-75.58670436,6.27279364
3192,"(832963.8161000004, 1185637.9962)",52119,90099016,90099,16.0,"CL 73 x CR 76A, Medellin",Reglamentaria,Origen-Destino,267,Éxito,2A,Directa Centro,Palenque Robledal,832963.8161,1185637.9962,-75.58670436,6.27279364
3193,"(832976.0290000006, 1183964.3863)",52120,90283042,90283,42.0,"CR 70 x CL 48, Medellin",Reglamentaria,Destino-Origen,191,Laureles Éxito,8A,Directa Centro,Autobuses Poblado Laureles,832976.029,1183964.3863,-75.5865934,6.25766343
3194,"(832976.0290000006, 1183964.3863)",52120,90287048,90287,48.0,"CR 70 x CL 48, Medellin",Reglamentaria,Destino-Origen,193ii,Estadio-Laureles Santa Teresita,8A,Integrada,Autobuses Poblado Laureles,832976.029,1183964.3863,-75.5865934,6.25766343
3195,"(832976.0290000006, 1183964.3863)",52120,90285041,90285,41.0,"CR 70 x CL 48, Medellin",Reglamentaria,Destino-Origen,193,Laureles Nogal # 2,8A,Directa Centro,Autobuses Poblado Laureles,832976.029,1183964.3863,-75.5865934,6.25766343
3196,"(832978.8119, 1186604.5500000003)",52124,90106012,90106,12.0,"DG 80 78-06, Medellin",Reglamentaria,Origen-Destino,254iB,Pilarica,2B,Integrada,Transporte Medellín Castilla ,832978.8119,1186604.55,-75.58656924,6.28153175
3197,"(832982.6201000004, 1183325.8955)",52125,90289024,90289,24.0,"CR 68A 44-10, Medellin",Reglamentaria,Origen-Destino,195i,Simón Bolívar-Unicentro-estación Santa Lucía,8A,Integrada,Tax Maya,832982.6201,1183325.8955,-75.58653361,6.25189117
3198,"(832986.7387, 1179357.6341)",52128,90004040,90004,40.0,"CR 65 8B-65, Medellin",Reglamentaria,Destino-Origen,313,Terminal del Norte-Terminal del Sur,Circular 313,Circular,Combuses,832986.7387,1179357.6341,-75.58649493,6.21601622
3199,"(832993.6585, 1187108.3229000003)",52130,90096010,90096,10.0,"CL 80 86-43, Medellin",Reglamentaria,Origen-Destino,260i,Seminario integrada,2A,Integrada,Palenque Robledal,832993.6585,1187108.3229,-75.58643529,6.2860861
3200,"(833017.846, 1184140.6524999999)",52132,90071031,90071,31.0,"CL 51 70-29, Medellin",Reglamentaria,Destino-Origen,250AH,La Huerta,2A,Directa Centro,Palenque Robledal,833017.846,1184140.6525,-75.58621566,6.25925697
3201,"(833017.846, 1184140.6524999999)",52132,90070037,90070,37.0,"CL 51 70-29, Medellin",Reglamentaria,Destino-Origen,250VF,Robledo Villa Flora,2A,Directa Centro,Palenque Robledal,833017.846,1184140.6525,-75.58621566,6.25925697
3202,"(833017.846, 1184140.6524999999)",52132,90073033,90073,33.0,"CL 51 70-29, Medellin",Reglamentaria,Destino-Origen,250AP,Pajarito,2A,Directa Centro,Palenque Robledal,833017.846,1184140.6525,-75.58621566,6.25925697
3203,"(833017.846, 1184140.6524999999)",52132,90067028,90067,28.0,"CL 51 70-29, Medellin",Reglamentaria,Destino-Origen,250R,Robledales,2A,Directa Centro,Palenque Robledal,833017.846,1184140.6525,-75.58621566,6.25925697
3204,"(833017.846, 1184140.6524999999)",52132,90069018,90069,18.0,"CL 51 70-29, Medellin",Reglamentaria,Destino-Origen,250iR,Robledal integrada,2A,Integrada,Palenque Robledal,833017.846,1184140.6525,-75.58621566,6.25925697
